time,data
2567,35.485
2568,35.255
2569,36.33
2570,36.79
2571,36.606
2575,36.496
2576,36.095
2577,36.073
2578,37.128
2581,36.45
2582,36.195
2583,36.32
2584,36.825
2585,37.395
2588,37.11
2589,36.66
2590,36.055
2591,35.99
2592,36.44
2595,36.715
2596,37.028
2597,37.41
2598,37.47
2599,37.505
2603,37.526
2604,37.365
2605,37.66
2606,37.96
2609,37.69
2610,37.575
2611,37.526
2612,37.655
2613,38.145
2616,37.85
2617,38.305
2618,38.18
2619,38.145
2620,38.09
2623,37.905
2624,37.945
2625,38.035
2626,38.155
2627,37.676
2630,37.975
2631,38.905
2632,39.371
2633,39.79
2634,40.44
2637,40.42
2638,40.5
2639,40.135
2640,39.55
2641,40.045
2644,40.71
2645,41.285
2646,41.395
2647,41.15
2648,40.56
2651,39.88
2652,39.785
2653,40.2
2654,39.9
2655,39.105
2658,39.145
2659,39.545
2660,40.231
2661,40.01
2665,40.035
2666,39.975
2667,39.84
2668,39.8
2669,40.1
2672,40.505
2673,40.805
2674,40.4
2675,40.121
2676,40.0
2679,39.475
2680,39.175
2681,39.323
2682,39.49
2683,39.54
2686,39.856
2687,40.17
2688,40.27
2689,39.845
2690,39.75
2693,39.68
2694,39.68
2695,40.075
2696,40.195
2697,40.245
2701,40.225
2702,40.075
2703,40.246
2704,40.695
2707,40.871
2708,40.445
2709,40.265
2710,40.901
2711,41.48
2714,41.33
2715,41.07
2716,40.895
2717,40.695
2718,41.165
2721,41.27
2722,41.485
2723,41.628
2724,41.54
2725,41.563
2728,41.86
2729,41.788
2730,41.865
2731,41.825
2732,41.93
2735,41.935
2736,41.865
2737,41.815
2738,41.855
2742,41.871
2743,41.825
2744,41.825
2745,41.528
2746,41.895
2749,42.18
2750,42.39
2751,43.295
2752,44.99
2753,44.67
2756,44.698
2757,44.915
2758,45.16
2759,44.665
2760,44.4
2763,44.165
2764,43.898
2765,43.825
2766,43.27
2767,43.035
2770,43.17
2771,43.195
2772,42.74
2773,43.035
2774,43.215
2777,43.231
2778,43.28
